id,Scheme_Name,Description,Benefits,Eligibility_Criteria,Documents_Required,Application_Process,Caste,Income,Gender,State,District
13,Chief Minister Merit Award,"The ""Chief Minister Merit Award"" scheme launched on 7th May, 2012, by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, aims to support 1000 boys and 1000 girls belonging to the Adi Dravidar, Tribal, and Adi Dravidar converted to Christianity communities. These students are selected based on their marks in the plus 2 Public Examinations. Each selected student is awarded ₹3,000/- annually for five years, provided they continue their higher education.","Financial Support: ₹3,000/- per year for five consecutive years.","The beneficiary should be a resident of Tamil Nadu.
The beneficiary should belong to the Adi Dravidar/ Tribal/ Adi Dravidar converted to Christianity communities.
The beneficiary should have passed plus 2 Public Examination.
The beneficiary should be continuing their studies after plus 2 standards.","Proof of identity (Aadhar card or any other document as directed by the authority).
Caste certificate (Adi Dravidar/ Tribal/ Adi Dravidar converted to Christian).
Marksheet of plus 2 Public Examination.Proof of continuing education after 10th standard (admission or enrolment certificate).
Bank account details.
Any other documents (if required).","1.The interested applicant should collect the application form from the concerned educational institution.
2.In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
3.Submit the duly filled and signed application form along with the documents to the educational institution.
4.Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).
",SCC,0,Both,Tamil Nadu,For all TN districts
14,"Free Education Scheme
","The ""Free Education Scheme"" launched on 7th May, 2012, by the Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu, is designed to support Backward Classes (BC), Most Backward Classes (MBC), and De-notified Communities (DNC) students in pursuing higher education without the burden of fees. It covers all special fees, non-refundable compulsory fees, and examination fees for students enrolled in 3-year undergraduate programs (B.A., B.Sc., B.Com.) in Government and Government Aided Arts and Science Colleges.",Financial Assistance: Special fees and other non-refundable compulsory fees are paid as prescribed by Government and examination fee in full.,"The beneficiary should be a student.
The beneficiary should be a resident of Tamil Nadu.
The beneficiary should belong to the Backward Classes (BC).
The beneficiary should be studying 3-year undergraduate degree (B.A., B.Sc., B.Com.).
The beneficiary should be enrolled in a Government or Government Aided Arts and Science College.","Proof of identity (Aadhar card or any other document as directed by the authority).
Caste certificate.Admission letter or proof of enrollment (Government or Government Aided Arts and Science College).
Bank account details for fee reimbursement.
Previous academic records (as required by the college).
Any other documents (if required).","1.The interested applicant should collect the application form from the concerned educational institute.
2.In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
3.Submit the duly filled and signed application form along with the documents to the institution.
4.Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).
",BC,0,Male,Tamil Nadu,For all TN districts
15,"Free Education Scheme
","The ""Free Education Scheme"" launched on 7th May, 2012, by the Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu, is designed to support Backward Classes (BC), Most Backward Classes (MBC), and De-notified Communities (DNC) students in pursuing higher education without the burden of fees. It covers all special fees, non-refundable compulsory fees, and examination fees for students enrolled in 3-year undergraduate programs (B.A., B.Sc., B.Com.) in Government and Government Aided Arts and Science Colleges.",Financial Assistance: Special fees and other non-refundable compulsory fees are paid as prescribed by Government and examination fee in full.,"The beneficiary should be a student.
The beneficiary should be a resident of Tamil Nadu.
The beneficiary should belong to the Most Backward Classes (MBC).
The beneficiary should be studying 3-year undergraduate degree (B.A., B.Sc., B.Com.).
The beneficiary should be enrolled in a Government or Government Aided Arts and Science College.","Proof of identity (Aadhar card or any other document as directed by the authority).
Caste certificate.Admission letter or proof of enrollment (Government or Government Aided Arts and Science College).
Bank account details for fee reimbursement.
Previous academic records (as required by the college).
Any other documents (if required).","1.The interested applicant should collect the application form from the concerned educational institute.
2.In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
3.Submit the duly filled and signed application form along with the documents to the institution.
4.Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).
",MBC,0,Male,Tamil Nadu,For all TN districts
16,"Free Education Scheme
","The ""Free Education Scheme"" launched on 7th May, 2012, by the Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu, is designed to support Backward Classes (BC), Most Backward Classes (MBC), and De-notified Communities (DNC) students in pursuing higher education without the burden of fees. It covers all special fees, non-refundable compulsory fees, and examination fees for students enrolled in 3-year undergraduate programs (B.A., B.Sc., B.Com.) in Government and Government Aided Arts and Science Colleges.",Financial Assistance: Special fees and other non-refundable compulsory fees are paid as prescribed by Government and examination fee in full.,"The beneficiary should be a student.
The beneficiary should be a resident of Tamil Nadu.
The beneficiary should belong to the Denotified Communities (DNC).
The beneficiary should be studying 3-year undergraduate degree (B.A., B.Sc., B.Com.).
The beneficiary should be enrolled in a Government or Government Aided Arts and Science College.","Proof of identity (Aadhar card or any other document as directed by the authority).
Caste certificate.Admission letter or proof of enrollment (Government or Government Aided Arts and Science College).
Bank account details for fee reimbursement.
Previous academic records (as required by the college).
Any other documents (if required).","1.The interested applicant should collect the application form from the concerned educational institute.
2.In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
3.Submit the duly filled and signed application form along with the documents to the institution.
4.Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).
",DNC,0,Male,Tamil Nadu,For all TN districts
17,Free Education Scheme for BC Students.,"The Free Education Scheme for BC Students provides comprehensive financial assistance to economically disadvantaged students from Backward Classes (BC) in Tamil Nadu. The scheme covers both:
1.Tuition Fee Waiver: Complete exemption from tuition fees for eligible students.
2.Maintenance Allowance: Financial support to cover living expenses like accommodation, food, and other essentials.","Tuition fee waiver, maintenance allowance","1.The applicant must belong to the Backward Class (BC) community.
2.Family Income should be below Rs. 1 lakh per annum.
3.The student must be pursuing education in recognized institutions in Tamil Nadu.
4.Applicable for UG, PG, and Professional courses.","1.Community Certificate – Proof of belonging to BC.
2.Income Certificate – Issued by a competent authority confirming annual family income below Rs. 1 lakh.
3.Aadhaar Card – For identity verification.
4.Ration Card – Proof of residence.
5.Bank Account Details – For direct transfer of maintenance allowance.
6.Admission Certificate – Proof of enrollment in an educational institution.
7.Bonafide Certificate – Issued by the institution.
8.Mark Sheets – Previous academic year mark sheets.
9.Passport-size Photos – Recent photographs.","1.Institutional Application:
-Visit the institution where the student is pursuing their education.
-Obtain the Free Education Scheme Application Form from the administration office.
2.Fill and Submit:
-Complete the form with all necessary details.
-Attach the required documents and submit it to the institution.
3.Verification Process:
-The institution will verify the documents and eligibility.
-After verification, the application will be forwarded to the appropriate government department.
4.Approval and Benefits:
-Upon successful approval, the tuition fee will be waived, and the maintenance allowance will be credited directly to the student’s bank account.",BC,100000,Both,Tamil Nadu,For all TN districts
18,Free Education Scheme for DNC Students.,"The Free Education Scheme for DNC Students is a financial assistance program designed to support students belonging to the Denotified Communities (DNC) in Tamil Nadu. The scheme provides:
-Tuition Fee Waiver: Full exemption from tuition fees.
-Maintenance Allowance: Financial aid to cover living expenses like accommodation, food, and other essentials.","Tuition fee waiver, maintenance allowance","1.Must belong to the Denotified Community (DNC).
2.Family Income should be below Rs. 2 lakh per annum.
3.Must be pursuing Undergraduate (UG), Postgraduate (PG), or Professional Courses in a recognized educational institution in Tamil Nadu.
","1.Community Certificate – Proof of belonging to DNC.
2.Income Certificate – Annual family income certificate issued by a competent authority.
3.Aadhaar Card – For identity verification.
4.Ration Card – Proof of residence.
5.Bank Account Details – For direct transfer of the maintenance allowance.
6.Admission Certificate – Proof of admission in a recognized institution.
7.Bonafide Certificate – Issued by the institution confirming the student’s status.
8.Mark Sheets – Copies of previous academic records.
9.Passport-size Photos – Recent photographs.","1.Visit the Institution:
-Go to the educational institution where you are enrolled.
-Collect the Free Education Scheme Application Form from the administrative office or download it from the official Tamil Nadu government website.
2.Fill and Submit:
-Complete the application form with accurate details.
-Attach the necessary documents and submit them to the institution.
3.Verification Process:
-The institution will verify your documents and eligibility.
-After verification, they will forward the application to the concerned government department.
4.Approval and Disbursement:
-Upon successful approval, the tuition fee waiver will be applied.
-The maintenance allowance will be directly transferred to the student’s bank account at regular intervals.",DNC,200000,Both,Tamil Nadu,For all TN districts
19,Free Education Scheme for MBC Students.,"The Free Education Scheme for MBC Students offers financial assistance to students from Most Backward Classes (MBC) in Tamil Nadu. The scheme includes:
-Tuition Fee Waiver: Full exemption from tuition fees.
-Maintenance Allowance: Financial support to cover essential living expenses like accommodation, food, and other needs.","Tuition fee waiver, maintenance allowance","1.The applicant must belong to the Most Backward Class (MBC) community.
2.Family Income should be below Rs. 1.5 lakh per annum.
3.The student must be pursuing higher education in a recognized institution in Tamil Nadu.
4.Applicable for Undergraduate (UG), Postgraduate (PG), and Professional Courses.","Community Certificate – Proof of belonging to MBC.
Income Certificate – Annual family income proof issued by a competent authority.
Aadhaar Card – For identity verification.
Ration Card – Proof of residence.
Bank Account Details – For direct transfer of the maintenance allowance.
Admission Certificate – Proof of enrollment in a recognized institution.
Bonafide Certificate – Issued by the institution.
Mark Sheets – Previous academic year results.
Passport-size Photos – Recent photographs.","1.Community Certificate – Proof of belonging to MBC.
2.Income Certificate – Annual family income proof issued by a competent authority.
3.Aadhaar Card – For identity verification.
4.Ration Card – Proof of residence.
5.Bank Account Details – For direct transfer of the maintenance allowance.
6.Admission Certificate – Proof of enrollment in a recognized institution.
7.Bonafide Certificate – Issued by the institution.
8.Mark Sheets – Previous academic year results.
9.Passport-size Photos – Recent photographs.",MBC,150000,Both,Tamil Nadu,For all TN districts
20,Free Education Scholarship for Professional Courses,"The ""Free Education Scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary, and Law)"" launched on 7th May, 2012, by the Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu, is designed to assist students from Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC). The scheme covers tuition fees, special fees, and non-refundable compulsory fees as prescribed by the government, along with the full examination fee.","Full payment of tuition fees.
Coverage of special and other non-refundable compulsory fees.
Full reimbursement of examination fees as per government norms.","The beneficiary should be a student.
The beneficiary should be a resident of Tamil Nadu.
The beneficiary should belong to the Backward Classes (BC).
The beneficiary should be pursuing a professional course in a Government/Government Aided or Self-Financing college.
The beneficiary’s family income should not exceed ₹1,00,000/- annually.
There should be no graduate in the family.","Proof of identity (Aadhar card or any other document as directed by the authority).
Caste certificate.
Admission letter or proof of enrollment (Government or Government Aided Arts and Science College).
Bank account details for fee reimbursement.
Income Certificate (proving family income is below ₹1,00,000/-).
No Graduate Certificate (self-declaration or from a gazetted officer)
Previous academic records (as required by the college).
Any other documents (if required).","1.The interested applicant should collect the application form from the concerned educational institute.
2.In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
3.Submit the duly filled and signed application form along with the documents to the institution.
4.Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).
",BC,100000,Male,Tamil Nadu,For all TN districts
21,Free Education Scholarship for Professional Courses,"The ""Free Education Scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary, and Law)"" launched on 7th May, 2012, by the Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu, is designed to assist students from Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC). The scheme covers tuition fees, special fees, and non-refundable compulsory fees as prescribed by the government, along with the full examination fee.","Full payment of tuition fees.
Coverage of special and other non-refundable compulsory fees.
Full reimbursement of examination fees as per government norms.","The beneficiary should be a student.
The beneficiary should be a resident of Tamil Nadu.
The beneficiary should belong to the Most Backward Classes (MBC).
The beneficiary should be pursuing a professional course in a Government/Government Aided or Self-Financing college.
The beneficiary’s family income should not exceed ₹1,00,000/- annually.
There should be no graduate in the family.","Proof of identity (Aadhar card or any other document as directed by the authority).
Caste certificate.
Admission letter or proof of enrollment (Government or Government Aided Arts and Science College).
Bank account details for fee reimbursement.
Income Certificate (proving family income is below ₹1,00,000/-).
No Graduate Certificate (self-declaration or from a gazetted officer)
Previous academic records (as required by the college).
Any other documents (if required).","1.The interested applicant should collect the application form from the concerned educational institute.
2.In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
3.Submit the duly filled and signed application form along with the documents to the institution.
4.Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).
",MBC,100000,Male,Tamil Nadu,For all TN districts
22,Free Education Scholarship for Professional Courses,"The ""Free Education Scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary, and Law)"" launched on 7th May, 2012, by the Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu, is designed to assist students from Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC). The scheme covers tuition fees, special fees, and non-refundable compulsory fees as prescribed by the government, along with the full examination fee.","Full payment of tuition fees.
Coverage of special and other non-refundable compulsory fees.
Full reimbursement of examination fees as per government norms.","The beneficiary should be a student.
The beneficiary should be a resident of Tamil Nadu.
The beneficiary should belong to the Denotified Communities (DNC).
The beneficiary should be pursuing a professional course in a Government/Government Aided or Self-Financing college.
The beneficiary’s family income should not exceed ₹1,00,000/- annually.
There should be no graduate in the family.","Proof of identity (Aadhar card or any other document as directed by the authority).
Caste certificate.
Admission letter or proof of enrollment (Government or Government Aided Arts and Science College).
Bank account details for fee reimbursement.
Income Certificate (proving family income is below ₹1,00,000/-).
No Graduate Certificate (self-declaration or from a gazetted officer)
Previous academic records (as required by the college).
Any other documents (if required).","1.The interested applicant should collect the application form from the concerned educational institute.
2.In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
3.Submit the duly filled and signed application form along with the documents to the institution.
4.Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).
",DNC,100000,Male,Tamil Nadu,For all TN districts
23,Free Tuition Fee Waiver scheme for students.,"The Free Tuition Fee Waiver Scheme aims to promote higher education among economically weaker students from Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC). Under this scheme, eligible students pursuing undergraduate, postgraduate, and professional courses in government or government-aided institutions receive a 100% tuition fee waiver.","Waiver of tuition fees for students from BC, MBC, and DNC communities",Students from BC communities pursuing education in Tamil Nadu.,"1.Community Certificate – Proof of belonging to BC.
2.Income Certificate – Issued by the competent authority, certifying annual family income.
3.Aadhaar Card – Identity proof.
4.Ration Card – Proof of residence.
5.Previous Academic Records – Mark sheets of the previous academic year.
6.Admission Proof – Admission letter from the institution.
7.Bank Account Details – For direct benefit transfer if applicable.
8.Passport-size Photos – Recent photographs.","1.Visit the Institution:
-The student must apply through the institution where they have taken admission.
2.Collect the Application Form:
-Obtain the Free Tuition Fee Waiver Scheme Application Form from the educational institution or download it from the official Tamil Nadu government website.
3.Fill and Submit the Form:
-Complete the form with accurate details and attach all the required documents.
4.Verification:
-The institution will verify the application and send it for further processing to the concerned district-level authority.
5.Approval and Fee Waiver:
-Upon successful verification, the tuition fee will be waived, and the student will be informed.",BC,0,Both,Tamil Nadu,For all TN districts
24,Free Tuition Fee Waiver scheme for students.,"The Free Tuition Fee Waiver Scheme aims to promote higher education among economically weaker students from Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC). Under this scheme, eligible students pursuing undergraduate, postgraduate, and professional courses in government or government-aided institutions receive a 100% tuition fee waiver.","Waiver of tuition fees for students from BC, MBC, and DNC communities",Students from MBC communities pursuing education in Tamil Nadu.,"1.Community Certificate – Proof of belonging to MBC.
2.Income Certificate – Issued by the competent authority, certifying annual family income.
3.Aadhaar Card – Identity proof.
4.Ration Card – Proof of residence.
5.Previous Academic Records – Mark sheets of the previous academic year.
6.Admission Proof – Admission letter from the institution.
7.Bank Account Details – For direct benefit transfer if applicable.
8.Passport-size Photos – Recent photographs.","1.Visit the Institution:
-The student must apply through the institution where they have taken admission.
2.Collect the Application Form:
-Obtain the Free Tuition Fee Waiver Scheme Application Form from the educational institution or download it from the official Tamil Nadu government website.
3.Fill and Submit the Form:
-Complete the form with accurate details and attach all the required documents.
4.Verification:
-The institution will verify the application and send it for further processing to the concerned district-level authority.
5.Approval and Fee Waiver:
-Upon successful verification, the tuition fee will be waived, and the student will be informed.",MBC,0,Both,Tamil Nadu,For all TN districts
25,Free Tuition Fee Waiver scheme for students.,"The Free Tuition Fee Waiver Scheme aims to promote higher education among economically weaker students from Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC). Under this scheme, eligible students pursuing undergraduate, postgraduate, and professional courses in government or government-aided institutions receive a 100% tuition fee waiver.","Waiver of tuition fees for students from BC, MBC, and DNC communities",Students from DNC communities pursuing education in Tamil Nadu.,"1.Community Certificate – Proof of belonging to DNC.
2.Income Certificate – Issued by the competent authority, certifying annual family income.
3.Aadhaar Card – Identity proof.
4.Ration Card – Proof of residence.
5.Previous Academic Records – Mark sheets of the previous academic year.
6.Admission Proof – Admission letter from the institution.
7.Bank Account Details – For direct benefit transfer if applicable.
8.Passport-size Photos – Recent photographs.","1.Visit the Institution:
-The student must apply through the institution where they have taken admission.
2.Collect the Application Form:
-Obtain the Free Tuition Fee Waiver Scheme Application Form from the educational institution or download it from the official Tamil Nadu government website.
3.Fill and Submit the Form:
-Complete the form with accurate details and attach all the required documents.
4.Verification:
-The institution will verify the application and send it for further processing to the concerned district-level authority.
5.Approval and Fee Waiver:
-Upon successful verification, the tuition fee will be waived, and the student will be informed.",DNC,0,Both,Tamil Nadu,For all TN districts
27,"Maintenance Allowance for BC, MBC, and DNC Students.","The Maintenance Allowance Scheme provides financial support to students belonging to Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC). This allowance is meant to cover living expenses such as accommodation, food, and other essential needs while pursuing higher education in Tamil Nadu. The scheme aims to reduce financial burdens and ensure that students can focus on their studies.",Financial support for students’ living expenses,Students from BC communities pursuing higher education in Tamil Nadu,"1.Community Certificate – Proof of belonging to BC.
2.Income Certificate – Annual family income should meet the eligibility criteria.
3.Aadhaar Card – Identity proof.
4.Ration Card – Proof of residence.
5.Bank Account Details – For direct transfer of the allowance.
6.Admission Certificate – Proof of admission in a recognized higher education institution.
7.Bonafide Certificate – Issued by the institution confirming the student’s status.
8.Previous Academic Records – Recent mark sheets.
9.Passport-size Photos – Recent photographs.","1.Visit the Institution:
-Students must apply through the institution where they are pursuing higher education.
2.Collect the Application Form:
-Obtain the Maintenance Allowance Application Form from the institution’s administration office or download it from the official Tamil Nadu government portal.
3.Fill and Submit the Form:
-Complete the form with accurate details and attach all necessary documents.
4.Institutional Verification:
-The institution will verify the application and forward it to the relevant government department.
5.Approval and Disbursement:
-After verification, the allowance amount will be directly transferred to the student’s bank account on a periodic basis.",BC,0,Both,Tamil Nadu,For all TN districts
28,"Maintenance Allowance for BC, MBC, and DNC Students.","The Maintenance Allowance Scheme provides financial support to students belonging to Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC). This allowance is meant to cover living expenses such as accommodation, food, and other essential needs while pursuing higher education in Tamil Nadu. The scheme aims to reduce financial burdens and ensure that students can focus on their studies.",Financial support for students’ living expenses,Students from MBC communities pursuing higher education in Tamil Nadu,"1.Community Certificate – Proof of belonging to MBC.
2.Income Certificate – Annual family income should meet the eligibility criteria.
3.Aadhaar Card – Identity proof.
4.Ration Card – Proof of residence.
5.Bank Account Details – For direct transfer of the allowance.
6.Admission Certificate – Proof of admission in a recognized higher education institution.
7.Bonafide Certificate – Issued by the institution confirming the student’s status.
8.Previous Academic Records – Recent mark sheets.
9.Passport-size Photos – Recent photographs.","1.Visit the Institution:
-Students must apply through the institution where they are pursuing higher education.
2.Collect the Application Form:
-Obtain the Maintenance Allowance Application Form from the institution’s administration office or download it from the official Tamil Nadu government portal.
3.Fill and Submit the Form:
-Complete the form with accurate details and attach all necessary documents.
4.Institutional Verification:
-The institution will verify the application and forward it to the relevant government department.
5.Approval and Disbursement:
-After verification, the allowance amount will be directly transferred to the student’s bank account on a periodic basis.",MBC,0,Both,Tamil Nadu,For all TN districts
29,"Maintenance Allowance for BC, MBC, and DNC Students.","The Maintenance Allowance Scheme provides financial support to students belonging to Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC). This allowance is meant to cover living expenses such as accommodation, food, and other essential needs while pursuing higher education in Tamil Nadu. The scheme aims to reduce financial burdens and ensure that students can focus on their studies.",Financial support for students’ living expenses,Students from DNC communities pursuing higher education in Tamil Nadu,"1.Community Certificate – Proof of belonging to DNC.
2.Income Certificate – Annual family income should meet the eligibility criteria.
3.Aadhaar Card – Identity proof.
4.Ration Card – Proof of residence.
5.Bank Account Details – For direct transfer of the allowance.
6.Admission Certificate – Proof of admission in a recognized higher education institution.
7.Bonafide Certificate – Issued by the institution confirming the student’s status.
8.Previous Academic Records – Recent mark sheets.
9.Passport-size Photos – Recent photographs.","1.Visit the Institution:
-Students must apply through the institution where they are pursuing higher education.
2.Collect the Application Form:
-Obtain the Maintenance Allowance Application Form from the institution’s administration office or download it from the official Tamil Nadu government portal.
3.Fill and Submit the Form:
-Complete the form with accurate details and attach all necessary documents.
4.Institutional Verification:
-The institution will verify the application and forward it to the relevant government department.
5.Approval and Disbursement:
-After verification, the allowance amount will be directly transferred to the student’s bank account on a periodic basis.",DNC,0,Both,Tamil Nadu,For all TN districts
30,Free Education (3 years UG Course in Govt. and Govt. Aided Colleges),The MBC-Free Education Scheme is an initiative by the Government of Tamil Nadu to provide financial assistance to students from the Most Backward Classes (MBC) pursuing three-year undergraduate courses in Government and Government-Aided Arts and Science Colleges.,"Fee Waiver: The scheme waives tuition fees, special fees, and other non-refundable compulsory fees for eligible students.","Community: Students must belong to the Most Backward Classes (MBC). 
Course Enrollment: Must be enrolled in a three-year undergraduate degree program (B.A., B.Sc., B.Com.) in a Government or Government-Aided Arts and Science College. 
Residency: Applicants should be residents of Tamil Nadu.","1.Community Certificate: Proof of belonging to MBC.
2.Admission Proof: College admission letter or current enrollment certificate.
3.Previous Academic Records: Mark sheets and certificates from prior educational qualifications.
4.Bank Account Details: For direct benefit transfer, if applicable.","1.Obtain Application Form: Collect the scholarship application form from the college administration or download it from the official website of the Tamil Nadu Backward Classes, Most Backward Classes, and Minorities Welfare Department. 
BCMBCMW.TN.GOV.IN
2.Complete the Form: Fill in the required personal and academic details accurately.
3.Attach Necessary Documents: Enclose all required documents as specified.
4.Submission: Submit the completed application form along with the necessary documents to the college administration or the designated authority.
5.Verification: The submitted applications will be verified by the concerned authorities.
6.Approval and Fee Waiver: Upon successful verification, the tuition and other applicable fees will be waived as per the scheme's provisions.",MBC,0,Male,Tamil Nadu,For all TN districts
31,Free Education (3 years UG Course in Govt. and Govt. Aided Colleges),The MBC-Free Education Scheme is an initiative by the Government of Tamil Nadu to provide financial assistance to students from the Most Backward Classes (MBC) pursuing three-year undergraduate courses in Government and Government-Aided Arts and Science Colleges.,"Fee Waiver: The scheme waives tuition fees, special fees, and other non-refundable compulsory fees for eligible students.","Community: Students must belong to the Denotified Communities (DNC). 
Course Enrollment: Must be enrolled in a three-year undergraduate degree program (B.A., B.Sc., B.Com.) in a Government or Government-Aided Arts and Science College. 
Residency: Applicants should be residents of Tamil Nadu.","1.Community Certificate: Proof of belonging to DNC.
2.Admission Proof: College admission letter or current enrollment certificate.
3.Previous Academic Records: Mark sheets and certificates from prior educational qualifications.
4.Bank Account Details: For direct benefit transfer, if applicable.","1.Obtain Application Form: Collect the scholarship application form from the college administration or download it from the official website of the Tamil Nadu Backward Classes, Most Backward Classes, and Minorities Welfare Department. 
BCMBCMW.TN.GOV.IN
2.Complete the Form: Fill in the required personal and academic details accurately.
3.Attach Necessary Documents: Enclose all required documents as specified.
4.Submission: Submit the completed application form along with the necessary documents to the college administration or the designated authority.
5.Verification: The submitted applications will be verified by the concerned authorities.
6.Approval and Fee Waiver: Upon successful verification, the tuition and other applicable fees will be waived as per the scheme's provisions.",DNC,0,Male,Tamil Nadu,For all TN districts
32,Free Education (Diploma Course in Govt. and Govt. Aided Colleges),The Most Backward Classes (MBC) Free Education Scheme for Diploma Courses in Government and Government-Aided Colleges is a Tamil Nadu government initiative aimed at providing financial assistance to MBC and Denotified Communities (DNC) students pursuing diploma courses. This scheme seeks to promote higher education among these communities by reducing financial barriers.,"Tuition Fee Waiver: Full exemption from tuition fees for eligible students.
Special Fee Coverage: Waiver of special fees as prescribed by the educational institution.
Examination Fee Coverage: Full reimbursement of examination fees.","1.Community: Applicants must belong to the Most Backward Classes (MBC).
2.Course Enrollment: Students should be enrolled in diploma courses in Government or Government-Aided colleges.
3.Parental Annual Income: The annual income of the student's family should not exceed ₹2,50,000.","1.Community Certificate: Proof of belonging to MBC.
2.Income Certificate: Valid income certificate demonstrating that the annual family income does not exceed ₹2,50,000.
3.Admission Proof: College admission letter or current enrollment certificate.
4.Previous Academic Records: Mark sheets and certificates from prior educational qualifications.
5.Bank Account Details: For direct benefit transfer of the scholarship amount.","1.Obtain Application Form: Collect the scholarship application form from the administrative office of the respective college or download it from the official website of the Tamil Nadu Backward Classes, Most Backward Classes, and Minorities Welfare Department.
2.Complete the Form: Fill in the required personal, academic, and financial details accurately.
3.Attach Necessary Documents: Enclose all required documents as specified above.
4.Submission: Submit the completed application form along with the necessary documents to the scholarship section of the respective college within the stipulated deadline.
5.Verification: The college administration will verify the submitted applications and forward them to the concerned government department for further processing.
6.Approval and Disbursement: Upon successful verification, the scholarship amount covering the eligible fees will be disbursed directly to the student's bank account through Electronic Clearing Service (ECS).",MBC,250000,Male,Tamil Nadu,For all TN districts
33,Free Education (Diploma Course in Govt. and Govt. Aided Colleges),The Most Backward Classes (MBC) Free Education Scheme for Diploma Courses in Government and Government-Aided Colleges is a Tamil Nadu government initiative aimed at providing financial assistance to MBC and Denotified Communities (DNC) students pursuing diploma courses. This scheme seeks to promote higher education among these communities by reducing financial barriers.,"Tuition Fee Waiver: Full exemption from tuition fees for eligible students.
Special Fee Coverage: Waiver of special fees as prescribed by the educational institution.
Examination Fee Coverage: Full reimbursement of examination fees.","1.Community: Applicants must belong to the Denotified Communities (DNC).
2.Course Enrollment: Students should be enrolled in diploma courses in Government or Government-Aided colleges.
3.Parental Annual Income: The annual income of the student's family should not exceed ₹2,50,000.","1.Community Certificate: Proof of belonging to DNC.
2.Income Certificate: Valid income certificate demonstrating that the annual family income does not exceed ₹2,50,000.
3.Admission Proof: College admission letter or current enrollment certificate.
4.Previous Academic Records: Mark sheets and certificates from prior educational qualifications.
5.Bank Account Details: For direct benefit transfer of the scholarship amount.","1.Obtain Application Form: Collect the scholarship application form from the administrative office of the respective college or download it from the official website of the Tamil Nadu Backward Classes, Most Backward Classes, and Minorities Welfare Department.
2.Complete the Form: Fill in the required personal, academic, and financial details accurately.
3.Attach Necessary Documents: Enclose all required documents as specified above.
4.Submission: Submit the completed application form along with the necessary documents to the scholarship section of the respective college within the stipulated deadline.
5.Verification: The college administration will verify the submitted applications and forward them to the concerned government department for further processing.
6.Approval and Disbursement: Upon successful verification, the scholarship amount covering the eligible fees will be disbursed directly to the student's bank account through Electronic Clearing Service (ECS).",DNC,250000,Male,Tamil Nadu,For all TN districts
